District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Bilaspur (08),70768,2942,4.16%,4662,6.59%,7852,11.1%,88,0.12%,17486,24.71%,740,1.05%,7530,10.64%,34320,48.5%,15904,22.47%,20544,29.03%,16491,23.3%,12971,18.33%,7220,10.2%,150,0.21%,5482,7.75,119,0.17%,33106,46.78%,1828,2.58%,50798,71.78%,10758,15.2%,7384,10.43%,1843,2.6%,4983,7.04%,54605,77.16%,22963,32.45%,9131,12.9%,1683,2.38%,125,0.18%,193,0.27%,02
Solan (09),90043,4813,5.35%,8668,9.63%,10734,11.92%,241,0.27%,18393,20.43%,2223,2.47%,15142,16.82%,48117,53.44%,23569,26.18%,18357,20.39%,16700,18.55%,26200,29.1%,14095,15.65%,325,0.36%,11476,12.75,304,0.34%,43414,48.21%,2039,2.26%,67686,75.17%,13711,15.23%,6607,7.34%,4488,4.98%,5179,5.75%,51572,57.27%,41748,46.36%,23167,25.73%,4693,5.21%,726,0.81%,442,0.49%,02
Sirmaur (10),82214,7739,9.41%,4384,5.33%,4482,5.45%,202,0.25%,14973,18.21%,1060,1.29%,5725,6.96%,53007,64.47%,14169,17.23%,15037,18.29%,13467,16.38%,15227,18.52%,11427,13.9%,109,0.13%,3621,4.4,70,0.09%,22820,27.76%,729,0.89%,69653,84.72%,2490,3.03%,9342,11.36%,2999,3.65%,6382,7.76%,45504,55.35%,45588,55.45%,26954,32.79%,4732,5.76%,195,0.24%,159,0.19%,02
Shimla (11),121586,3272,2.69%,5420,4.46%,10126,8.33%,129,0.11%,28036,23.06%,1117,0.92%,4296,3.53%,64974,53.44%,27499,22.62%,29113,23.94%,25961,21.35%,15903,13.08%,3783,3.11%,170,0.14%,11834,9.73,116,0.1%,34191,28.12%,1189,0.98%,105248,86.56%,8856,7.28%,6293,5.18%,3155,2.59%,12424,10.22%,89201,73.36%,44625,36.7%,24365,20.04%,7749,6.37%,532,0.44%,1258,1.03%,02
Kinnaur (12),18287,837,4.58%,1222,6.68%,1867,10.21%,20,0.11%,4715,25.78%,202,1.1%,1059,5.79%,9584,52.41%,4244,23.21%,4459,24.38%,4244,23.21%,2792,15.27%,541,2.96%,21,0.11%,2214,12.11,16,0.09%,3139,17.17%,293,1.6%,14016,76.64%,2300,12.58%,1678,9.18%,285,1.56%,3243,17.73%,8056,44.05%,7630,41.72%,3366,18.41%,809,4.42%,72,0.39%,115,0.63%,02
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,03
State Total,3269467,1482531,45.34%,182830,5.59%,228547,6.99%,5331,0.16%,244577,7.48%,27950,0.85%,146597,4.48%,1881889,57.56%,813841,24.89%,571951,17.49%,234000,7.16%,1672686,51.16%,1339119,40.96%,18505,0.57%,309054,9.45%,6008,0.18%,2171673,66.42%,42734,1.31%,2599688,79.51%,204062,6.24%,422983,12.94%,528411,16.16%,268189,8.2%,268507,8.21%,609924,18.66%,127955,3.91%,747052,22.85%,43928,1.34%,14352,0.44%,03
Gurdaspur (01),297035,131075,44.13%,19847,6.68%,32478,10.93%,421,0.14%,40588,13.66%,2336,0.79%,12203,4.11%,171729,57.81%,67166,22.61%,58029,19.54%,39394,13.26%,152056,51.19%,137806,46.39%,1333,0.45%,12144,4.09,773,0.26%,206262,69.44%,7837,2.64%,230975,77.76%,13715,4.62%,44508,14.98%,32474,10.93%,17818,6%,44233,14.89%,71495,24.07%,17317,5.83%,69402,23.36%,4797,1.61%,1966,0.66%,03
Kapurthala (02),104862,46199,44.06%,4872,4.65%,8194,7.81%,255,0.24%,8956,8.54%,2773,2.64%,5241,5%,57033,54.39%,28420,27.1%,19334,18.44%,8633,8.23%,64912,61.9%,54995,52.45%,519,0.49%,9361,8.93,37,0.04%,87143,83.1%,861,0.82%,90961,86.74%,4385,4.18%,8655,8.25%,14152,13.5%,6298,6.01%,14577,13.9%,31122,29.68%,4398,4.19%,24452,23.32%,808,0.77%,303,0.29%,03
Jalandhar (03),214994,104697,48.7%,5971,2.78%,11870,5.52%,390,0.18%,11514,5.36%,1441,0.67%,11903,5.54%,114013,53.03%,67894,31.58%,33020,15.36%,10976,5.11%,127652,59.37%,106135,49.37%,1216,0.57%,20183,9.39,118,0.05%,176204,81.96%,2382,1.11%,176313,82.01%,21032,9.78%,15267,7.1%,24935,11.6%,8469,3.94%,16385,7.62%,46155,21.47%,10415,4.84%,30588,14.23%,1615,0.75%,589,0.27%,03
Hoshiarpur (04),263563,105623,40.08%,20359,7.72%,28781,10.92%,512,0.19%,32201,12.22%,1887,0.72%,15164,5.75%,135008,51.22%,71378,27.08%,57021,21.63%,31375,11.9%,144082,54.67%,124971,47.42%,764,0.29%,18063,6.85,284,0.11%,190887,72.43%,3886,1.47%,205703,78.05%,25607,9.72%,28367,10.76%,21251,8.06%,9048,3.43%,2732,1.04%,5808,2.2%,1174,0.45%,35053,13.3%,2193,0.83%,731,0.28%,03
Shahid Bhagat Singh Nagar (05),103553,47004,45.39%,10927,10.55%,6959,6.72%,119,0.11%,7104,6.86%,442,0.43%,4393,4.24%,53574,51.74%,30003,28.97%,19789,19.11%,6866,6.63%,56355,54.42%,46759,45.15%,461,0.45%,9028,8.72,107,0.1%,79014,76.3%,1619,1.56%,79475,76.75%,14415,13.92%,8044,7.77%,10776,10.41%,4540,4.38%,12471,12.04%,28595,27.61%,6358,6.14%,17142,16.55%,1381,1.33%,344,0.33%,03
Fatehgarh Sahib (06),76287,36000,47.19%,3502,4.59%,5514,7.23%,140,0.18%,5718,7.5%,333,0.44%,4125,5.41%,41687,54.64%,17469,22.9%,17104,22.42%,5543,7.27%,44186,57.92%,32610,42.75%,315,0.41%,11053,14.49,208,0.27%,53267,69.82%,523,0.69%,57757,75.71%,5463,7.16%,12544,16.44%,15068,19.75%,10195,13.36%,563,0.74%,2703,3.54%,354,0.46%,21976,28.81%,808,1.06%,161,0.21%,03
Ludhiana (07),269447,129096,47.91%,15949,5.92%,21489,7.98%,537,0.2%,19302,7.16%,3824,1.42%,28630,10.63%,153043,56.8%,68355,25.37%,47992,17.81%,18456,6.85%,150429,55.83%,112386,41.71%,1757,0.65%,36015,13.37,271,0.1%,189106,70.18%,5108,1.9%,199330,73.98%,28442,10.56%,36567,13.57%,39223,14.56%,19201,7.13%,41124,15.26%,70373,26.12%,23252,8.63%,53377,19.81%,4977,1.85%,1546,0.57%,03
Moga (08),143743,70967,49.37%,4701,3.27%,6813,4.74%,190,0.13%,7118,4.95%,591,0.41%,3359,2.34%,84914,59.07%,32815,22.83%,25673,17.86%,6780,4.72%,66365,46.17%,48627,33.83%,751,0.52%,16749,11.65,238,0.17%,93579,65.1%,1064,0.74%,114410,79.59%,7810,5.43%,20459,14.23%,27985,19.47%,12431,8.65%,29392,20.45%,49585,34.5%,11636,8.1%,39432,27.43%,2537,1.76%,601,0.42%,03
Firozpur (09),270011,137047,50.76%,7327,2.71%,10621,3.93%,240,0.09%,12312,4.56%,702,0.26%,3591,1.33%,170010,62.96%,55417,20.52%,44529,16.49%,11792,4.37%,112952,41.83%,85554,31.69%,994,0.37%,25969,9.62,435,0.16%,135460,50.17%,1228,0.45%,207108,76.7%,10379,3.84%,51296,19%,50905,18.85%,27333,10.12%,20209,7.48%,54969,20.36%,11437,4.24%,69120,25.6%,3083,1.14%,597,0.22%,03
Muktsar (10),123773,64019,51.72%,2803,2.26%,5370,4.34%,100,0.08%,5571,4.5%,234,0.19%,1401,1.13%,74275,60.01%,25798,20.84%,23648,19.11%,5372,4.34%,50012,40.41%,30444,24.6%,475,0.38%,18878,15.25,215,0.17%,66098,53.4%,1197,0.97%,98417,79.51%,6757,5.46%,17402,14.06%,30614,24.73%,10050,8.12%,1264,1.02%,5765,4.66%,581,0.47%,33119,26.76%,2599,2.1%,409,0.33%,03
Faridkot (11),74717,34366,45.99%,5613,7.51%,3577,4.79%,59,0.08%,3626,4.85%,603,0.81%,1508,2.02%,43143,57.74%,17867,23.91%,13706,18.34%,3490,4.67%,37620,50.35%,28306,37.88%,304,0.41%,8833,11.82,177,0.24%,45646,61.09%,556,0.74%,63770,85.35%,3682,4.93%,6709,8.98%,18499,24.76%,9131,12.22%,5018,6.72%,21098,28.24%,3193,4.27%,20303,27.17%,775,1.04%,452,0.6%,03
Bathinda (12),159138,69737,43.82%,4164,2.62%,7431,4.67%,155,0.1%,8380,5.27%,820,0.52%,2810,1.77%,93389,58.68%,39441,24.78%,26289,16.52%,8113,5.1%,70785,44.48%,49082,30.84%,448,0.28%,21176,13.31,79,0.05%,95822,60.21%,1423,0.89%,134884,84.76%,6260,3.93%,16571,10.41%,41421,26.03%,19439,12.22%,11241,7.06%,51338,32.26%,4620,2.9%,47524,29.86%,727,0.46%,328,0.21%,03
Mansa (13),114443,51128,44.68%,4783,4.18%,4547,3.97%,204,0.18%,5187,4.53%,258,0.23%,1559,1.36%,75553,66.02%,25845,22.58%,12760,11.15%,4889,4.27%,40317,35.23%,28865,25.22%,278,0.24%,11054,9.66,120,0.1%,55147,48.19%,794,0.69%,89396,78.11%,3363,2.94%,20890,18.25%,25658,22.42%,13964,12.2%,9185,8.03%,23592,20.61%,3244,2.83%,31284,27.34%,1637,1.43%,730,0.64%,03
Patiala (14),213729,102271,47.85%,12798,5.99%,14461,6.77%,700,0.33%,13792,6.45%,1752,0.82%,9493,4.44%,125680,58.8%,50589,23.67%,37415,17.51%,13127,6.14%,116317,54.42%,92583,43.32%,1168,0.55%,22117,10.35,449,0.21%,140532,65.75%,1711,0.8%,179592,84.03%,8105,3.79%,24321,11.38%,35627,16.67%,21555,10.09%,14240,6.66%,38461,18%,8307,3.89%,50393,23.58%,2484,1.16%,894,0.42%,03
Amritsar (15),206172,92892,45.06%,16838,8.17%,16988,8.24%,317,0.15%,15230,7.39%,2985,1.45%,8754,4.25%,117117,56.81%,62161,30.15%,26874,13.03%,12931,6.27%,108124,52.44%,91225,44.25%,5150,2.5%,10490,5.09,1259,0.61%,139558,67.69%,3908,1.9%,167575,81.28%,3564,1.73%,31125,15.1%,25876,12.55%,10909,5.29%,18819,9.13%,38488,18.67%,8440,4.09%,35066,17.01%,4339,2.1%,2401,1.16%,03
Tarn Taran (16),165688,71786,43.33%,8370,5.05%,9150,5.52%,201,0.12%,10711,6.46%,566,0.34%,3872,2.34%,102296,61.74%,39891,24.08%,23451,14.15%,10163,6.13%,80639,48.67%,71877,43.38%,625,0.38%,7951,4.8,186,0.11%,110218,66.52%,1796,1.08%,140243,84.64%,1834,1.11%,21815,13.17%,26741,16.14%,14493,8.75%,6966,4.2%,25075,15.13%,3544,2.14%,46908,28.31%,958,0.58%,379,0.23%,03
Rupnagar (17),94482,30527,32.31%,7275,7.7%,11866,12.56%,200,0.21%,12537,13.27%,695,0.74%,6511,6.89%,52198,55.25%,23622,25%,18653,19.74%,12289,13.01%,55485,58.73%,47082,49.83%,361,0.38%,7864,8.32,178,0.19%,65751,69.59%,1214,1.28%,77309,81.82%,6301,6.67%,9658,10.22%,9777,10.35%,4126,4.37%,8504,9%,17576,18.6%,3873,4.1%,15554,16.46%,1334,1.41%,351,0.37%,03
Sahibzada Ajit Singh Nagar (18),85222,35290,41.41%,6973,8.18%,7459,8.75%,158,0.19%,8616,10.11%,1329,1.56%,12637,14.83%,49758,58.39%,22981,26.97%,12342,14.48%,8370,9.82%,50231,58.94%,40375,47.38%,702,0.82%,9042,10.61,112,0.13%,58947,69.17%,1134,1.33%,73684,86.46%,2353,2.76%,8051,9.45%,11404,13.38%,2843,3.34%,9176,10.77%,15068,17.68%,3627,4.26%,13661,16.03%,1305,1.53%,270,0.32%,03
Sangrur (19),214234,90762,42.37%,17662,8.24%,12273,5.73%,327,0.15%,12893,6.02%,3983,1.86%,7986,3.73%,125827,58.73%,48821,22.79%,39514,18.44%,12362,5.77%,107717,50.28%,82170,38.36%,706,0.33%,24261,11.32,580,0.27%,132717,61.95%,3471,1.62%,156546,73.07%,22516,10.51%,31701,14.8%,47265,22.06%,32928,15.37%,1697,0.79%,9052,4.23%,1741,0.81%,67459,31.49%,4787,2.23%,983,0.46%,03
Barnala (20),74374,32045,43.09%,2096,2.82%,2706,3.64%,106,0.14%,3221,4.33%,396,0.53%,1457,1.96%,41642,55.99%,17908,24.08%,14808,19.91%,3079,4.14%,36450,49.01%,27267,36.66%,178,0.24%,8823,11.86,182,0.24%,50315,67.65%,1022,1.37%,56240,75.62%,8079,10.86%,9033,12.15%,18760,25.22%,13418,18.04%,711,0.96%,3606,4.85%,444,0.6%,25239,33.94%,784,1.05%,317,0.43%,03
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,04
State Total,15657,2690,17.18%,1182,7.55%,1779,11.36%,17,0.11%,1994,12.74%,312,1.99%,7139,45.6%,7046,45%,5119,32.69%,3492,22.3%,1957,12.5%,5796,37.02%,4754,30.36%,140,0.89%,896,5.72%,6,0.04%,7373,47.09%,36,0.23%,14344,91.61%,550,3.51%,727,4.64%,310,1.98%,50,0.32%,235,1.5%,334,2.13%,200,1.28%,466,2.98%,265,1.69%,30,0.19%,04
CHANDIGARH DISTRICT (01),15657,2690,17.18%,1182,7.55%,1779,11.36%,17,0.11%,1994,12.74%,312,1.99%,7139,45.6%,7046,45%,5119,32.69%,3492,22.3%,1957,12.5%,5796,37.02%,4754,30.36%,140,0.89%,896,5.72,6,0.04%,7373,47.09%,36,0.23%,14344,91.61%,550,3.51%,727,4.64%,310,1.98%,50,0.32%,235,1.5%,334,2.13%,200,1.28%,466,2.98%,265,1.69%,30,0.19%,04
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,05
State Total,1479742,279752,18.91%,75829,5.12%,110323,7.46%,3214,0.22%,184079,12.44%,29635,2%,136595,9.23%,938356,63.41%,323538,21.86%,217848,14.72%,174607,11.8%,344556,23.28%,294460,19.9%,4470,0.3%,43881,2.97%,1745,0.12%,340968,23.04%,11192,0.76%,1281517,86.6%,26185,1.77%,160758,10.86%,54261,3.67%,59135,4%,673942,45.54%,471192,31.84%,183009,12.37%,87594,5.92%,17997,1.22%,6849,0.46%,05
Uttarkashi (01),64836,2227,3.43%,2179,3.36%,3359,5.18%,112,0.17%,7592,11.71%,407,0.63%,1466,2.26%,51936,80.1%,5870,9.05%,7030,10.84%,7097,10.95%,3623,5.59%,2838,4.38%,45,0.07%,679,1.05,61,0.09%,5756,8.88%,384,0.59%,47874,73.84%,573,0.88%,16005,24.69%,255,0.39%,2305,3.56%,44627,68.83%,28384,43.78%,15727,24.26%,187,0.29%,33,0.05%,86,0.13%,05
Chamoli (02),70323,2208,3.14%,2171,3.09%,4508,6.41%,140,0.2%,14630,20.8%,1102,1.57%,3194,4.54%,42243,60.07%,17022,24.21%,11058,15.72%,13580,19.31%,3073,4.37%,1904,2.71%,49,0.07%,1063,1.51,57,0.08%,5083,7.23%,488,0.69%,57840,82.25%,1413,2.01%,10582,15.05%,540,0.77%,803,1.14%,49005,69.69%,19255,27.38%,8299,11.8%,493,0.7%,210,0.3%,200,0.28%,05
Rudraprayag (03),48830,2179,4.46%,1103,2.26%,4082,8.36%,48,0.1%,6291,12.88%,1114,2.28%,3632,7.44%,26240,53.74%,15294,31.32%,7296,14.94%,6081,12.45%,10715,21.94%,10236,20.96%,72,0.15%,389,0.8,18,0.04%,5054,10.35%,319,0.65%,45030,92.22%,751,1.54%,2730,5.59%,257,0.53%,294,0.6%,37966,77.75%,14124,28.92%,4950,10.14%,268,0.55%,29,0.06%,25,0.05%,05
TehriGarhwal (04),119766,6875,5.74%,4568,3.81%,5598,4.67%,112,0.09%,10682,8.92%,2832,2.36%,18040,15.06%,84962,70.94%,23324,19.47%,11480,9.59%,9931,8.29%,9643,8.05%,6995,5.84%,84,0.07%,2464,2.06,100,0.08%,12924,10.79%,505,0.42%,107652,89.89%,954,0.8%,10655,8.9%,833,0.7%,1321,1.1%,86475,72.2%,63907,53.36%,18546,15.49%,407,0.34%,120,0.1%,443,0.37%,05
Dehradun (05),165649,37029,22.35%,13656,8.24%,27766,16.76%,736,0.44%,34317,20.72%,4303,2.6%,26596,16.06%,81092,48.95%,39671,23.95%,44886,27.1%,33104,19.98%,77574,46.83%,64300,38.82%,845,0.51%,12271,7.41,158,0.1%,90294,54.51%,1467,0.89%,147078,88.79%,4975,3%,12129,7.32%,3227,1.95%,7100,4.29%,27734,16.74%,30827,18.61%,11267,6.8%,4141,2.5%,571,0.34%,908,0.55%,05
Garhwal (06),140122,4826,3.44%,3936,2.81%,12929,9.23%,391,0.28%,23017,16.43%,2812,2.01%,9196,6.56%,82910,59.17%,33446,23.87%,23766,16.96%,21770,15.54%,17210,12.28%,14950,10.67%,229,0.16%,1898,1.35,133,0.09%,29010,20.7%,1502,1.07%,122264,87.26%,3115,2.22%,13241,9.45%,1143,0.82%,996,0.71%,87450,62.41%,17090,12.2%,14716,10.5%,998,0.71%,91,0.06%,98,0.07%,05
Pithoragarh (07),91906,2823,3.07%,4738,5.16%,5596,6.09%,116,0.13%,18798,20.45%,1042,1.13%,6357,6.92%,57746,62.83%,18181,19.78%,15979,17.39%,18065,19.66%,4976,5.41%,3362,3.66%,22,0.02%,1569,1.71,23,0.03%,10189,11.09%,705,0.77%,68116,74.11%,1764,1.92%,21321,23.2%,393,0.43%,1510,1.64%,71195,77.47%,39915,43.43%,13850,15.07%,678,0.74%,39,0.04%,71,0.08%,05
Bageshwar (08),53420,2285,4.28%,2089,3.91%,3211,6.01%,93,0.17%,8362,15.65%,1122,2.1%,6514,12.19%,35456,66.37%,11211,20.99%,6753,12.64%,7812,14.62%,2377,4.45%,1541,2.88%,22,0.04%,762,1.43,52,0.1%,5579,10.44%,280,0.52%,43636,81.68%,632,1.18%,8798,16.47%,416,0.78%,462,0.86%,39997,74.87%,32035,59.97%,18691,34.99%,254,0.48%,53,0.1%,139,0.26%,05
Almora (09),125275,3769,3.01%,5104,4.07%,7087,5.66%,214,0.17%,14772,11.79%,1935,1.54%,10267,8.2%,91822,73.3%,20342,16.24%,13111,10.47%,13880,11.08%,5187,4.14%,3990,3.18%,68,0.05%,1027,0.82,102,0.08%,9249,7.38%,1203,0.96%,111446,88.96%,3089,2.47%,9537,7.61%,1091,0.87%,1648,1.32%,72938,58.22%,61598,49.17%,26013,20.76%,1147,0.92%,251,0.2%,271,0.22%,05
Champawat (10),44150,2674,6.06%,2342,5.3%,2978,6.75%,40,0.09%,4972,11.26%,323,0.73%,2015,4.56%,32282,73.12%,6194,14.03%,5674,12.85%,4808,10.89%,5113,11.58%,4264,9.66%,21,0.05%,814,1.84,14,0.03%,5975,13.53%,414,0.94%,36321,82.27%,572,1.3%,6843,15.5%,530,1.2%,761,1.72%,30652,69.43%,12400,28.09%,5877,13.31%,1712,3.88%,130,0.29%,84,0.19%,05
Nainital (11),117469,14073,11.98%,10720,9.13%,10706,9.11%,276,0.23%,13526,11.51%,3819,3.25%,10878,9.26%,72576,61.78%,24555,20.9%,20338,17.31%,12619,10.74%,35417,30.15%,31590,26.89%,1075,0.92%,2476,2.11,276,0.23%,40634,34.59%,1318,1.12%,103253,87.9%,2944,2.51%,9938,8.46%,3000,2.55%,3407,2.9%,34983,29.78%,38651,32.9%,8184,6.97%,4715,4.01%,1308,1.11%,847,0.72%,05
UdhamSinghNagar (12),206204,78616,38.13%,12624,6.12%,11393,5.53%,399,0.19%,15426,7.48%,4022,1.95%,18260,8.86%,134083,65.02%,45854,22.24%,26267,12.74%,14616,7.09%,81268,39.41%,71106,34.48%,1052,0.51%,8732,4.23,378,0.18%,62085,30.11%,1124,0.55%,184500,89.47%,3332,1.62%,17248,8.36%,18532,8.99%,15756,7.64%,48362,23.45%,61501,29.83%,17585,8.53%,35468,17.2%,4881,2.37%,973,0.47%,05
Hardwar (13),231792,120168,51.84%,10599,4.57%,11110,4.79%,537,0.23%,11694,5.05%,4802,2.07%,20180,8.71%,145008,62.56%,62574,27%,24210,10.44%,11244,4.85%,88380,38.13%,77384,33.39%,886,0.38%,9737,4.2,373,0.16%,59136,25.51%,1483,0.64%,206507,89.09%,2071,0.89%,21731,9.38%,24044,10.37%,22772,9.82%,42558,18.36%,51505,22.22%,19304,8.33%,37126,16.02%,10281,4.44%,2704,1.17%,05
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,06
State Total,2969509,1126029,37.92%,224940,7.57%,203285,6.85%,9381,0.32%,265164,8.93%,24711,0.83%,164082,5.53%,1750716,58.96%,732974,24.68%,483377,16.28%,257813,8.68%,1015735,34.21%,804203,27.08%,15734,0.53%,191490,6.45%,4308,0.15%,1157173,38.97%,18797,0.63%,2509300,84.5%,66674,2.25%,374159,12.6%,342367,11.53%,286030,9.63%,750100,25.26%,1175525,39.59%,249101,8.39%,699011,23.54%,49156,1.66%,11524,0.39%,06
Panchkula (01),47620,19125,40.16%,2963,6.22%,3577,7.51%,119,0.25%,4626,9.71%,411,0.86%,6495,13.64%,28942,60.78%,11349,23.83%,7322,15.38%,4498,9.45%,19142,40.2%,15688,32.94%,260,0.55%,3157,6.63,37,0.08%,23821,50.02%,379,0.8%,38843,81.57%,1342,2.82%,7056,14.82%,2778,5.83%,637,1.34%,12140,25.49%,11718,24.61%,3121,6.55%,3170,6.66%,292,0.61%,110,0.23%,06
Ambala (02),114196,55312,48.44%,6862,6.01%,5903,5.17%,334,0.29%,8083,7.08%,531,0.46%,5520,4.83%,68564,60.04%,28396,24.87%,17213,15.07%,7854,6.88%,47110,41.25%,40587,35.54%,478,0.42%,5860,5.13,185,0.16%,48127,42.14%,916,0.8%,93750,82.1%,4333,3.79%,15195,13.31%,13060,11.44%,8671,7.59%,19077,16.71%,31075,27.21%,6311,5.53%,17800,15.59%,1621,1.42%,524,0.46%,06
Yamunanagar (03),132327,67532,51.03%,7588,5.73%,7045,5.32%,316,0.24%,8205,6.2%,509,0.38%,4385,3.31%,87220,65.91%,26698,20.18%,18379,13.89%,7940,6%,53958,40.78%,46123,34.86%,446,0.34%,7318,5.53,71,0.05%,48638,36.76%,971,0.73%,105370,79.63%,3352,2.53%,22634,17.1%,16195,12.24%,10705,8.09%,18912,14.29%,38701,29.25%,7575,5.72%,23495,17.76%,979,0.74%,529,0.4%,06
Kurukshetra (04),129992,65870,50.67%,6869,5.28%,6354,4.89%,392,0.3%,8065,6.2%,763,0.59%,4665,3.59%,76061,58.51%,30545,23.5%,23335,17.95%,7836,6.03%,52571,40.44%,42713,32.86%,526,0.4%,9161,7.05,171,0.13%,60404,46.47%,553,0.43%,106275,81.76%,4257,3.27%,18901,14.54%,16795,12.92%,13983,10.76%,17415,13.4%,40487,31.15%,7505,5.77%,29033,22.33%,2333,1.79%,389,0.3%,06
Kaithal (05),152125,66196,43.51%,3547,2.33%,5538,3.64%,372,0.24%,7551,4.96%,433,0.28%,2514,1.65%,96385,63.36%,34116,22.43%,21429,14.09%,7243,4.76%,48721,32.03%,40626,26.71%,472,0.31%,7484,4.92,139,0.09%,54876,36.07%,536,0.35%,130941,86.07%,2524,1.66%,18110,11.9%,16118,10.6%,18958,12.46%,25617,16.84%,67121,44.12%,5804,3.82%,46886,30.82%,1911,1.26%,418,0.27%,06
Karnal (06),183992,90919,49.41%,6561,3.57%,8368,4.55%,582,0.32%,9930,5.4%,993,0.54%,8020,4.36%,116935,63.55%,42309,23%,24727,13.44%,9562,5.2%,70200,38.15%,59640,32.41%,690,0.38%,9556,5.19,314,0.17%,67285,36.57%,482,0.26%,153021,83.17%,2275,1.24%,28200,15.33%,20920,11.37%,17944,9.75%,40817,22.18%,61814,33.6%,9861,5.36%,41248,22.42%,1986,1.08%,1194,0.65%,06
Panipat (07),115331,51802,44.92%,23150,20.07%,8194,7.1%,1832,1.59%,9118,7.91%,1674,1.45%,8811,7.64%,69494,60.26%,28972,25.12%,16562,14.36%,8863,7.68%,41158,35.69%,34794,30.17%,674,0.58%,5540,4.8,150,0.13%,45805,39.72%,701,0.61%,97504,84.54%,2039,1.77%,15064,13.06%,11334,9.83%,6637,5.75%,31525,27.33%,36832,31.94%,10213,8.86%,30612,26.54%,8063,6.99%,539,0.47%,06
