District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Dimapur  (05),41147,16838,645,551,1092,72,9453,5893,4787,1.57%,1.34%,2.65%,0.17%,22.97%,14.32%,11.63%,8870,4548,1034,259,67,9,0,21.56%,11.05%,2.51%,0.63%,0.16%,0.02%,0%,2051,4.98%,13
Phek (06),30807,22562,171,1488,2728,310,22327,7767,345,0.56%,4.83%,8.86%,1.01%,72.47%,25.21%,1.12%,13214,6728,1802,617,116,2,0,42.89%,21.84%,5.85%,2%,0.38%,0.01%,0%,83,0.27%,13
Tuensang (07),29744,23915,4264,777,1068,144,23840,8087,864,14.34%,2.61%,3.59%,0.48%,80.15%,27.19%,2.9%,12830,7726,2600,582,111,12,1,43.13%,25.97%,8.74%,1.96%,0.37%,0.04%,0%,53,0.18%,13
Longleng (08),10934,6543,372,367,611,49,6495,3398,135,3.4%,3.36%,5.59%,0.45%,59.4%,31.08%,1.23%,2744,2934,630,162,47,7,0,25.1%,26.83%,5.76%,1.48%,0.43%,0.06%,0%,19,0.17%,13
Kiphire (09),12983,10734,1029,420,664,17,10668,5486,173,7.93%,3.23%,5.11%,0.13%,82.17%,42.26%,1.33%,4635,4692,1072,230,58,2,0,35.7%,36.14%,8.26%,1.77%,0.45%,0.02%,0%,45,0.35%,13
Kohima (10),29305,15640,73,952,1427,104,15007,3760,1431,0.25%,3.25%,4.87%,0.35%,51.21%,12.83%,4.88%,10206,3817,1023,396,45,6,0,34.83%,13.03%,3.49%,1.35%,0.15%,0.02%,0%,147,0.5%,13
Peren (11),15178,12050,488,402,617,71,10834,3376,432,3.22%,2.65%,4.07%,0.47%,71.38%,22.24%,2.85%,7707,3137,488,145,33,5,0,50.78%,20.67%,3.22%,0.96%,0.22%,0.03%,0%,535,3.52%,13
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,14
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,14
State Total,448163,296197,10903,6204,13331,835,174787,61702,62140,2.43%,1.38%,2.97%,0.19%,39%,13.77%,13.87%,159617,64168,10102,2254,449,59,4,35.62%,14.32%,2.25%,0.5%,0.1%,0.01%,0%,59544,13.29%,14
Senapati (01),93129,67069,875,696,2040,59,60151,22295,2171,0.94%,0.75%,2.19%,0.06%,64.59%,23.94%,2.33%,39084,21329,1724,289,35,7,0,41.97%,22.9%,1.85%,0.31%,0.04%,0.01%,0%,4601,4.94%,14
Tamenglong (02),25878,19891,646,231,545,27,19817,5083,1929,2.5%,0.89%,2.11%,0.1%,76.58%,19.64%,7.45%,12745,6006,948,127,29,4,0,49.25%,23.21%,3.66%,0.49%,0.11%,0.02%,0%,32,0.12%,14
Churachandpur (03),53252,38704,2229,530,1458,147,37480,5210,7723,4.19%,1%,2.74%,0.28%,70.38%,9.78%,14.5%,24133,11904,1761,302,57,10,0,45.32%,22.35%,3.31%,0.57%,0.11%,0.02%,0%,537,1.01%,14
Bishnupur (04),29107,16932,400,440,710,92,1999,2837,3943,1.37%,1.51%,2.44%,0.32%,6.87%,9.75%,13.55%,5425,1686,362,108,20,1,0,18.64%,5.79%,1.24%,0.37%,0.07%,0%,0%,9330,32.05%,14
Thoubal (05),56089,38859,2306,1035,1877,162,1118,7908,16877,4.11%,1.85%,3.35%,0.29%,1.99%,14.1%,30.09%,15961,5046,1177,318,71,12,0,28.46%,9%,2.1%,0.57%,0.13%,0.02%,0%,16274,29.01%,14
ImphalWest (06),52166,26195,527,865,1597,134,2327,3294,9384,1.01%,1.66%,3.06%,0.26%,4.46%,6.31%,17.99%,10731,2373,627,157,27,0,1,20.57%,4.55%,1.2%,0.3%,0.05%,0%,0%,12279,23.54%,14
ImphalEast (07),71558,38987,1576,920,2170,107,2970,5959,17179,2.2%,1.29%,3.03%,0.15%,4.15%,8.33%,24.01%,16670,4780,1093,286,42,3,0,23.3%,6.68%,1.53%,0.4%,0.06%,0%,0%,16113,22.52%,14
Ukhrul (08),39237,30509,1025,1145,2053,82,30019,4979,1306,2.61%,2.92%,5.23%,0.21%,76.51%,12.69%,3.33%,22500,5818,1325,445,119,17,3,57.34%,14.83%,3.38%,1.13%,0.3%,0.04%,0.01%,282,0.72%,14
Chandel (09),27747,19051,1319,342,881,25,18906,4137,1628,4.75%,1.23%,3.18%,0.09%,68.14%,14.91%,5.87%,12368,5226,1085,222,49,5,0,44.57%,18.83%,3.91%,0.8%,0.18%,0.02%,0%,96,0.35%,14
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,15
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,15
State Total,111626,66677,13164,2355,3703,234,66023,18002,5341,11.79%,2.11%,3.32%,0.21%,59.15%,16.13%,4.78%,35384,21643,7944,1332,184,12,0,31.7%,19.39%,7.12%,1.19%,0.16%,0.01%,0%,178,0.16%,15
Mamit (01),15169,9314,2828,303,444,134,9125,2762,806,18.64%,2%,2.93%,0.88%,60.16%,18.21%,5.31%,4144,3349,1517,203,37,2,0,27.32%,22.08%,10%,1.34%,0.24%,0.01%,0%,62,0.41%,15
Kolasib (02),7353,4028,869,115,177,18,3653,942,687,11.82%,1.56%,2.41%,0.24%,49.68%,12.81%,9.34%,2152,1204,415,144,16,0,0,29.27%,16.37%,5.64%,1.96%,0.22%,0%,0%,97,1.32%,15
Aizawl (03),17557,8484,315,360,603,32,8447,469,1020,1.79%,2.05%,3.43%,0.18%,48.11%,2.67%,5.81%,6277,1749,352,81,17,1,0,35.75%,9.96%,2%,0.46%,0.1%,0.01%,0%,7,0.04%,15
Champhai (04),15250,8196,427,292,669,9,8189,650,583,2.8%,1.91%,4.39%,0.06%,53.7%,4.26%,3.82%,6113,1625,378,68,10,0,0,40.09%,10.66%,2.48%,0.45%,0.07%,0%,0%,2,0.01%,15
Serchhip (05),6359,3096,84,98,242,1,3094,162,134,1.32%,1.54%,3.81%,0.02%,48.66%,2.55%,2.11%,2494,496,91,14,0,0,0,39.22%,7.8%,1.43%,0.22%,0%,0%,0%,1,0.02%,15
Lunglei (06),19733,12904,2920,541,683,18,12880,3860,421,14.8%,2.74%,3.46%,0.09%,65.27%,19.56%,2.13%,6901,3895,1817,255,31,1,0,34.97%,19.74%,9.21%,1.29%,0.16%,0.01%,0%,4,0.02%,15
Lawngtlai (07),23173,15938,4427,435,530,17,15926,8397,1586,19.1%,1.88%,2.29%,0.07%,68.73%,36.24%,6.84%,4638,7803,2963,472,51,7,0,20.01%,33.67%,12.79%,2.04%,0.22%,0.03%,0%,4,0.02%,15
Saiha (08),7032,4717,1294,211,355,5,4709,760,104,18.4%,3%,5.05%,0.07%,66.97%,10.81%,1.48%,2665,1522,411,95,22,1,0,37.9%,21.64%,5.84%,1.35%,0.31%,0.01%,0%,1,0.01%,15
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,16
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,16
State Total,697062,498284,63236,19265,30687,2368,272395,99393,219131,9.07%,2.76%,4.4%,0.34%,39.08%,14.26%,31.44%,191880,137404,53254,15177,3167,550,26,27.53%,19.71%,7.64%,2.18%,0.45%,0.08%,0%,96826,13.89%,16
West Tripura (01),291585,214622,20538,8290,12590,1152,117957,37441,104314,7.04%,2.84%,4.32%,0.4%,40.45%,12.84%,35.77%,87835,61333,20686,5548,1239,211,10,30.12%,21.03%,7.09%,1.9%,0.42%,0.07%,0%,37760,12.95%,16
South Tripura (02),190414,139378,16433,5956,8936,544,79466,31252,56277,8.63%,3.13%,4.69%,0.29%,41.73%,16.41%,29.56%,51502,36971,15601,4998,1083,190,10,27.05%,19.42%,8.19%,2.62%,0.57%,0.1%,0.01%,29023,15.24%,16
Dhalai (03),78489,51824,11897,2232,3408,167,39525,14451,21644,15.16%,2.84%,4.34%,0.21%,50.36%,18.41%,27.58%,16773,17891,9101,2619,498,81,2,21.37%,22.79%,11.6%,3.34%,0.63%,0.1%,0%,4859,6.19%,16
North Tripura (04),136574,92460,14368,2787,5753,505,35447,16249,36896,10.52%,2.04%,4.21%,0.37%,25.95%,11.9%,27.02%,35770,21209,7866,2012,347,68,4,26.19%,15.53%,5.76%,1.47%,0.25%,0.05%,0%,25184,18.44%,16
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,17
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,17
State Total,485897,332962,30365,8108,27149,1938,307956,124715,132501,6.25%,1.67%,5.59%,0.4%,63.38%,25.67%,27.27%,117141,135008,58736,14014,2346,246,15,24.11%,27.79%,12.09%,2.88%,0.48%,0.05%,0%,5456,1.12%,17
West Garo Hills (01),111580,81973,8187,2192,5332,359,63082,34930,26478,7.34%,1.96%,4.78%,0.32%,56.54%,31.3%,23.73%,34507,30455,10728,2460,529,72,6,30.93%,27.29%,9.61%,2.2%,0.47%,0.06%,0.01%,3216,2.88%,17
East Garo Hills (02),52635,43080,6392,614,1395,539,43029,13500,10029,12.14%,1.17%,2.65%,1.02%,81.75%,25.65%,19.05%,19206,16839,5610,1251,127,23,1,36.49%,31.99%,10.66%,2.38%,0.24%,0.04%,0%,23,0.04%,17
South Garo Hills (03),22236,17450,809,410,592,71,17206,5144,3846,3.64%,1.84%,2.66%,0.32%,77.38%,23.13%,17.3%,9065,6174,1723,299,54,5,0,40.77%,27.77%,7.75%,1.34%,0.24%,0.02%,0%,130,0.58%,17
West Khasi Hills (04),59268,46356,6935,1085,3771,184,46134,16909,19041,11.7%,1.83%,6.36%,0.31%,77.84%,28.53%,32.13%,15098,18385,9583,2762,429,38,3,25.47%,31.02%,16.17%,4.66%,0.72%,0.06%,0.01%,58,0.1%,17
Ribhoi (05),45228,30497,2480,673,1917,373,29135,10952,10668,5.48%,1.49%,4.24%,0.82%,64.42%,24.22%,23.59%,11321,12540,4960,985,165,23,2,25.03%,27.73%,10.97%,2.18%,0.36%,0.05%,0%,501,1.11%,17
East Khasi Hills (06),128947,76873,3527,2138,9293,318,72998,22995,41847,2.74%,1.66%,7.21%,0.25%,56.61%,17.83%,32.45%,21295,35585,14430,3447,641,59,2,16.51%,27.6%,11.19%,2.67%,0.5%,0.05%,0%,1414,1.1%,17
Jaintia Hills (07),66003,36733,2035,996,4849,94,36372,20285,20592,3.08%,1.51%,7.35%,0.14%,55.11%,30.73%,31.2%,6649,15030,11702,2810,401,26,1,10.07%,22.77%,17.73%,4.26%,0.61%,0.04%,0%,114,0.17%,17
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,18
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,18
State Total,5743835,4021246,467478,85612,192836,23051,933890,1426073,1565855,8.14%,1.49%,3.36%,0.4%,16.26%,24.83%,27.26%,1545686,975218,303190,56126,11292,1290,57,26.91%,16.98%,5.28%,0.98%,0.2%,0.02%,0%,1128387,19.65%,18
Kokrajhar (01),176025,126729,17957,2723,6122,419,42549,56404,40815,10.2%,1.55%,3.48%,0.24%,24.17%,32.04%,23.19%,52242,35856,10393,2299,460,60,0,29.68%,20.37%,5.9%,1.31%,0.26%,0.03%,0%,25419,14.44%,18
Dhubri (02),387940,326988,70485,10518,20939,1653,10661,184161,199088,18.17%,2.71%,5.4%,0.43%,2.75%,47.47%,51.32%,110231,109075,41563,8285,2022,194,3,28.41%,28.12%,10.71%,2.14%,0.52%,0.05%,0%,55615,14.34%,18
Goalpara (03),189692,145758,27234,2974,7444,676,40462,60351,74909,14.36%,1.57%,3.92%,0.36%,21.33%,31.82%,39.49%,56289,45217,17274,2912,653,94,4,29.67%,23.84%,9.11%,1.54%,0.34%,0.05%,0%,23315,12.29%,18
Barpeta (04),322866,250649,62843,5273,10581,1487,18366,116555,127105,19.46%,1.63%,3.28%,0.46%,5.69%,36.1%,39.37%,88227,70857,30266,4237,814,72,3,27.33%,21.95%,9.37%,1.31%,0.25%,0.02%,0%,56173,17.4%,18
Morigaon (05),183516,136514,29619,2880,5995,942,37476,53294,59073,16.14%,1.57%,3.27%,0.51%,20.42%,29.04%,32.19%,50240,37469,16995,2565,493,57,7,27.38%,20.42%,9.26%,1.4%,0.27%,0.03%,0%,28688,15.63%,18
Nagaon (06),503461,364777,44595,7874,15791,2341,66913,130937,130749,8.86%,1.56%,3.14%,0.46%,13.29%,26.01%,25.97%,141640,83118,23475,4005,875,84,0,28.13%,16.51%,4.66%,0.8%,0.17%,0.02%,0%,111580,22.16%,18
Sonitpur (07),357582,225505,12144,3979,10267,907,53287,86120,73399,3.4%,1.11%,2.87%,0.25%,14.9%,24.08%,20.53%,93580,52515,10755,1868,306,33,4,26.17%,14.69%,3.01%,0.52%,0.09%,0.01%,0%,66444,18.58%,18
Lakhimpur (08),188714,129072,12160,2392,4670,451,47267,33055,32206,6.44%,1.27%,2.47%,0.24%,25.05%,17.52%,17.07%,50108,26447,7413,1351,271,30,3,26.55%,14.01%,3.93%,0.72%,0.14%,0.02%,0%,43449,23.02%,18
Dhemaji (09),130473,92089,9045,1876,3626,271,51437,26532,9261,6.93%,1.44%,2.78%,0.21%,39.42%,20.34%,7.1%,39175,20698,5574,999,136,12,1,30.03%,15.86%,4.27%,0.77%,0.1%,0.01%,0%,25494,19.54%,18
Tinsukia (10),225888,136744,4726,2648,5640,629,17870,49676,47159,2.09%,1.17%,2.5%,0.28%,7.91%,21.99%,20.88%,51368,28668,5226,807,133,11,1,22.74%,12.69%,2.31%,0.36%,0.06%,0%,0%,50530,22.37%,18
Dibrugarh (11),244630,149609,3526,2662,6609,1290,21298,44119,54780,1.44%,1.09%,2.7%,0.53%,8.71%,18.03%,22.39%,59119,28484,4756,813,115,17,0,24.17%,11.64%,1.94%,0.33%,0.05%,0.01%,0%,56305,23.02%,18
Sivasagar (12),226379,136858,2313,2637,5863,1522,13398,32536,45047,1.02%,1.16%,2.59%,0.67%,5.92%,14.37%,19.9%,44091,22388,3757,671,88,9,0,19.48%,9.89%,1.66%,0.3%,0.04%,0%,0%,65854,29.09%,18
Jorhat (13),209863,123857,2655,2292,5859,731,30829,28850,46314,1.27%,1.09%,2.79%,0.35%,14.69%,13.75%,22.07%,49491,25286,4601,735,124,15,2,23.58%,12.05%,2.19%,0.35%,0.06%,0.01%,0%,43603,20.78%,18
Golaghat (14),210230,150357,3842,2688,6739,687,28195,41471,41848,1.83%,1.28%,3.21%,0.33%,13.41%,19.73%,19.91%,55090,25597,4928,901,140,14,2,26.2%,12.18%,2.34%,0.43%,0.07%,0.01%,0%,63685,30.29%,18
KarbiAnglong (15),154898,114028,2773,1757,3603,934,81138,41185,17113,1.79%,1.13%,2.33%,0.6%,52.38%,26.59%,11.05%,56172,33925,6557,945,183,18,1,36.26%,21.9%,4.23%,0.61%,0.12%,0.01%,0%,16227,10.48%,18
DimaHasao (16),31408,23717,3044,597,979,117,20661,9295,2623,9.69%,1.9%,3.12%,0.37%,65.78%,29.59%,8.35%,11394,8685,2025,436,119,23,0,36.28%,27.65%,6.45%,1.39%,0.38%,0.07%,0%,1035,3.3%,18
Cachar (17),340309,228875,21253,5850,13893,1550,59650,51738,96654,6.25%,1.72%,4.08%,0.46%,17.53%,15.2%,28.4%,87078,48795,15806,3614,695,87,7,25.59%,14.34%,4.64%,1.06%,0.2%,0.03%,0%,72793,21.39%,18
Karimganj (18),229937,160754,21879,4296,9212,771,30073,37552,68789,9.52%,1.87%,4.01%,0.34%,13.08%,16.33%,29.92%,60271,32546,11099,2817,453,62,1,26.21%,14.15%,4.83%,1.23%,0.2%,0.03%,0%,53505,23.27%,18
Hailakandi (19),136073,95308,15491,2430,6112,593,21491,26525,31482,11.38%,1.79%,4.49%,0.44%,15.79%,19.49%,23.14%,33705,19286,7338,1910,375,53,0,24.77%,14.17%,5.39%,1.4%,0.28%,0.04%,0%,32641,23.99%,18
Bongaigaon (20),137285,103196,13852,2268,5537,679,15739,44365,52465,10.09%,1.65%,4.03%,0.49%,11.46%,32.32%,38.22%,37106,29265,9897,1878,364,41,0,27.03%,21.32%,7.21%,1.37%,0.27%,0.03%,0%,24645,17.95%,18
Chirang (21),91718,63970,7462,1429,3261,125,30133,28395,23468,8.14%,1.56%,3.56%,0.14%,32.85%,30.96%,25.59%,24834,20096,7014,1596,313,38,4,27.08%,21.91%,7.65%,1.74%,0.34%,0.04%,0%,10075,10.98%,18
Kamrup (22),308249,198435,20914,3633,9427,1302,42769,56756,80414,6.78%,1.18%,3.06%,0.42%,13.87%,18.41%,26.09%,80079,40875,13220,2563,597,78,3,25.98%,13.26%,4.29%,0.83%,0.19%,0.03%,0%,61020,19.8%,18
KamrupMetropolitan (23),58277,28342,1641,674,2419,102,13451,7106,11864,2.82%,1.16%,4.15%,0.18%,23.08%,12.19%,20.36%,11910,7101,2712,606,105,10,0,20.44%,12.18%,4.65%,1.04%,0.18%,0.02%,0%,5898,10.12%,18
Nalbari (24),153630,99422,7691,1867,4035,677,14115,24074,47986,5.01%,1.22%,2.63%,0.44%,9.19%,15.67%,31.23%,43304,18885,4701,1022,196,31,2,28.19%,12.29%,3.06%,0.67%,0.13%,0.02%,0%,31281,20.36%,18
Baksa (25),196332,147211,12506,2613,6321,441,71785,46199,52057,6.37%,1.33%,3.22%,0.22%,36.56%,23.53%,26.51%,60396,38387,13179,2888,617,87,8,30.76%,19.55%,6.71%,1.47%,0.31%,0.04%,0%,31649,16.12%,18
Darrang (26),186731,146505,28643,2841,6912,1072,8615,65220,57267,15.34%,1.52%,3.7%,0.57%,4.61%,34.93%,30.67%,49412,34935,13830,1941,367,32,1,26.46%,18.71%,7.41%,1.04%,0.2%,0.02%,0%,45987,24.63%,18
Udalguri (27),161729,115977,7185,1941,4980,682,44262,43602,41920,4.44%,1.2%,3.08%,0.42%,27.37%,26.96%,25.92%,49134,30762,8836,1462,278,28,0,30.38%,19.02%,5.46%,0.9%,0.17%,0.02%,0%,25477,15.75%,18
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,19
East Zone Total,47307665,35604289,9961967,1545980,1703849,228050,12349047,13982517,19436486,21.06%,3.27%,3.6%,0.48%,26.1%,29.56%,41.09%,10710568,10297517,5994735,1926292,356402,67762,3477,22.64%,21.77%,12.67%,4.07%,0.75%,0.14%,0.01%,6247536,13.21%,19
State Total,15756750,12251060,3318838,379729,559985,74705,4750894,4054414,6983342,21.06%,2.41%,3.55%,0.47%,30.15%,25.73%,44.32%,3706716,3560262,2010528,653301,104103,20128,1228,23.52%,22.6%,12.76%,4.15%,0.66%,0.13%,0.01%,2194794,13.93%,19
Darjiling (01),279770,185548,11462,4399,9599,1632,103029,52051,96014,4.1%,1.57%,3.43%,0.58%,36.83%,18.6%,34.32%,64505,55751,25393,5151,905,137,7,23.06%,19.93%,9.08%,1.84%,0.32%,0.05%,0%,33699,12.05%,19
Jalpaiguri (02),761422,586964,61667,14926,29092,3939,402080,211962,365059,8.1%,1.96%,3.82%,0.52%,52.81%,27.84%,47.94%,171367,211430,117586,27509,5067,981,69,22.51%,27.77%,15.44%,3.61%,0.67%,0.13%,0.01%,52955,6.95%,19
KochBihar (03),635046,507118,44513,18569,27836,2719,287189,155729,267763,7.01%,2.92%,4.38%,0.43%,45.22%,24.52%,42.16%,189610,160063,65744,16917,4721,979,29,29.86%,25.2%,10.35%,2.66%,0.74%,0.15%,0%,69055,10.87%,19
UttarDinajpur (04),543415,428369,55560,11151,18474,1002,159356,229789,232048,10.22%,2.05%,3.4%,0.18%,29.32%,42.29%,42.7%,137090,145562,68190,14694,2647,411,17,25.23%,26.79%,12.55%,2.7%,0.49%,0.08%,0%,59758,11%,19
DakshinDinajpur (05),349140,288699,27313,8384,14304,1107,154348,99694,138716,7.82%,2.4%,4.1%,0.32%,44.21%,28.55%,39.73%,92776,81681,43449,10958,2251,359,20,26.57%,23.39%,12.44%,3.14%,0.64%,0.1%,0.01%,57205,16.38%,19
Maldah (06),802673,657050,183148,20149,30085,2130,203586,355737,409730,22.82%,2.51%,3.75%,0.27%,25.36%,44.32%,51.05%,186456,221563,130791,37129,5754,850,32,23.23%,27.6%,16.29%,4.63%,0.72%,0.11%,0%,74475,9.28%,19
Murshidabad (07),1490524,1185745,310590,46834,57107,7734,181712,567536,798806,20.84%,3.14%,3.83%,0.52%,12.19%,38.08%,53.59%,372847,389689,192188,48087,8253,1253,57,25.01%,26.14%,12.89%,3.23%,0.55%,0.08%,0%,173371,11.63%,19
Birbhum (08),758961,628328,270338,23796,34386,4734,268039,259172,426276,35.62%,3.14%,4.53%,0.62%,35.32%,34.15%,56.17%,136334,165456,145523,79606,10172,2129,124,17.96%,21.8%,19.17%,10.49%,1.34%,0.28%,0.02%,88984,11.72%,19
Barddhaman (09),1250095,918858,226949,29820,49049,5417,457540,320487,617902,18.15%,2.39%,3.92%,0.43%,36.6%,25.64%,49.43%,213690,252126,196591,79228,12973,2775,146,17.09%,20.17%,15.73%,6.34%,1.04%,0.22%,0.01%,161329,12.91%,19
Nadia (10),1036142,804448,182438,29477,35319,4613,293750,289304,527892,17.61%,2.84%,3.41%,0.45%,28.35%,27.92%,50.95%,245161,267122,137629,34347,5494,888,45,23.66%,25.78%,13.28%,3.31%,0.53%,0.09%,0%,113762,10.98%,19
NorthTwentyFourParganas (11),1183056,903642,301331,22197,34376,5923,322535,221928,585467,25.47%,1.88%,2.91%,0.5%,27.26%,18.76%,49.49%,285900,286022,151272,38033,4890,843,51,24.17%,24.18%,12.79%,3.21%,0.41%,0.07%,0%,136631,11.55%,19
Hugli (12),920643,627744,102469,19733,34708,2693,293058,150672,373538,11.13%,2.14%,3.77%,0.29%,31.83%,16.37%,40.57%,177056,161245,99607,33911,6739,1405,105,19.23%,17.51%,10.82%,3.68%,0.73%,0.15%,0.01%,147676,16.04%,19
Bankura (13),724878,574611,187924,18602,29181,4358,306314,225803,287206,25.92%,2.57%,4.03%,0.6%,42.26%,31.15%,39.62%,129767,131029,116134,66115,8420,1917,157,17.9%,18.08%,16.02%,9.12%,1.16%,0.26%,0.02%,121072,16.7%,19
Puruliya (14),536972,437234,176279,15508,20753,2443,191671,175501,149983,32.83%,2.89%,3.86%,0.45%,35.69%,32.68%,27.93%,125517,110302,73149,33694,5089,1001,49,23.37%,20.54%,13.62%,6.27%,0.95%,0.19%,0.01%,88433,16.47%,19
Haora (15),708849,513790,84104,12860,21577,1697,135817,94069,293889,11.86%,1.81%,3.04%,0.24%,19.16%,13.27%,41.46%,206821,119686,46723,11703,1809,292,6,29.18%,16.88%,6.59%,1.65%,0.26%,0.04%,0%,126750,17.88%,19
SouthTwentyFourParganas (17),1523398,1243673,504044,29423,39325,5913,463853,300379,680282,33.09%,1.93%,2.58%,0.39%,30.45%,19.72%,44.66%,405198,389131,201702,49127,6136,1145,85,26.6%,25.54%,13.24%,3.22%,0.4%,0.08%,0.01%,191149,12.55%,19
PaschimMedinipur (18),1192518,924903,247072,30607,48261,7956,390409,239583,361697,20.72%,2.57%,4.05%,0.67%,32.74%,20.09%,30.33%,262296,206804,126310,51167,10122,2328,215,22%,17.34%,10.59%,4.29%,0.85%,0.2%,0.02%,265661,22.28%,19
PurbaMedinipur (19),1059248,834336,341637,23294,26553,8695,136608,105018,371074,32.25%,2.2%,2.51%,0.82%,12.9%,9.91%,35.03%,304325,205600,72547,15925,2661,435,14,28.73%,19.41%,6.85%,1.5%,0.25%,0.04%,0%,232829,21.98%,19
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,20
East Zone Total,47307665,35604289,9961967,1545980,1703849,228050,12349047,13982517,19436486,21.06%,3.27%,3.6%,0.48%,26.1%,29.56%,41.09%,10710568,10297517,5994735,1926292,356402,67762,3477,22.64%,21.77%,12.67%,4.07%,0.75%,0.14%,0.01%,6247536,13.21%,20
